Model,Score
Perceptron,0.44481436242551453
KNeighbors,0.5181482897022269
RandomForest,0.602077621695643
AdaBoost,0.577495613374212
SVC,0.5458841248841806
MLP,0.5722291286518217
GradientBoost,0.593211421909292
LogisticRegression,0.5036485466875671
DecisionTree,0.518208171845197
SGDClassifier,0.4965324060660767
XGB,0.5924741968457441
GaussianNB,0.47161481110673087
